krs,name,hasc_2,bundesland,centr_lon,centr_lat,x_epsg5243,y_epsg5243,total_area_epsg5243
08221,Heidelberg,DE.BW.HD,Baden-Württemberg,8.694171802952674,49.405515296510934,-130985.18464467753,-175614.07131986608,109171248.46637473
08222,Mannheim,DE.BW.MN,Baden-Württemberg,8.500324480946196,49.49941904801421,-144754.94522556657,-164819.31809875907,144958514.3515168
08225,Neckar-Odenwald-Kreis,DE.BW.NO,Baden-Württemberg,9.28010998277388,49.46660976379465,-88393.76849903211,-169705.37440649996,1124308620.8036208
08226,Rhein-Neckar-Kreis,DE.BW.RN,Baden-Württemberg,8.767084336404693,49.36848493675906,-125788.58836774339,-179869.83498749032,1059779347.485608
08231,Pforzheim,DE.BW.PO,Baden-Württemberg,8.71277915187166,48.87640056801097,-131064.62448385876,-234455.61370486222,98425530.98952657
08235,Calw,DE.BW.CL,Baden-Württemberg,8.635769822796854,48.67899905331231,-137263.2008151674,-256268.83069620255,797103023.7642881
08236,Enzkreis,DE.BW.EZ,Baden-Württemberg,8.737081154648886,48.91446690924047,-129188.04800494155,-230270.07084812422,573008637.254537
08237,Freudenstadt,DE.BW.FE,Baden-Württemberg,8.465313075582976,48.47440614937067,-150440.09842892882,-278671.0002047272,871474533.891005
08311,Freiburg im Breisgau,DE.BW.FB,Baden-Württemberg,7.818075906315808,47.99252301181433,-200236.01120782926,-330700.7691648161,154387752.40884313
08315,Breisgau-Hochschwarzwald,DE.BW.BH,Baden-Württemberg,7.924940944592943,47.92490935088598,-192519.3772099314,-338489.8408683919,1378599929.3984683
08316,Emmendingen,DE.BW.EM,Baden-Württemberg,7.897550431313947,48.148512045110195,-193687.66617667873,-313565.1992545922,680979352.9341398
08317,Ortenaukreis,DE.BW.OR,Baden-Württemberg,8.016219927899584,48.42097196255263,-183837.06624725976,-283618.59294260584,1860283375.1932342
08325,Rottweil,DE.BW.RT,Baden-Württemberg,8.532351345761453,48.25422028773578,-146143.88409919955,-303291.6627433814,770216100.090576
08326,Schwarzwald-Baar-Kreis,DE.BW.SB,Baden-Württemberg,8.410964374725463,48.01911971089862,-155881.64059203258,-329191.49851251056,1027218256.4155402
08327,Tuttlingen,DE.BW.TT,Baden-Württemberg,8.794136189689022,48.01120042603983,-127334.55499766862,-330805.4394809499,734768044.8718781
08335,Konstanz,DE.BW.KN,Baden-Württemberg,8.915762956792449,47.793212770922025,-118773.83488512276,-355251.38203814864,863792834.6460602
08336,Lörrach,DE.BW.LR,Baden-Württemberg,7.774028821906501,47.703503989867365,-204730.70112662498,-362721.7993567424,808650683.6122862
08337,Waldshut,DE.BW.WL,Baden-Württemberg,8.218892398225615,47.69713347201274,-171349.92945755253,-364560.2924934798,1132943710.1993148
